City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
127,Bati,11.1833,40.0167,60.91,41,4,6.33,ET,2021-10-29 23:59:50
128,Namibe,-15.1961,12.1522,65.95,83,52,4.61,AO,2021-10-29 23:57:25
129,Kasongo-Lunda,-6.4667,16.8167,69.28,99,100,0.45,CD,2021-10-29 23:59:50
130,Uribia,11.7139,-72.266,81.36,77,100,5.19,CO,2021-10-29 23:59:51
131,Besikduzu,41.052,39.2284,55.29,86,94,3.71,TR,2021-10-29 23:59:51
132,Dicabisagan,17.0818,122.4157,79.29,75,81,5.41,PH,2021-10-29 23:59:51
133,Nikolskoye,59.7035,30.7861,49.01,91,72,7.31,RU,2021-10-29 23:59:52
134,Hithadhoo,-0.6,73.0833,83.3,74,96,13.65,MV,2021-10-29 23:59:52
135,Port Blair,11.6667,92.75,80.73,83,75,6.44,IN,2021-10-29 23:58:48
136,Severo-Kurilsk,50.6789,156.125,42.37,84,98,12.24,RU,2021-10-29 23:59:53
137,Brigantine,39.4101,-74.3646,63.03,97,90,27.63,US,2021-10-29 23:59:53
138,Douentza,14.9951,-2.9517,87.19,38,82,1.19,ML,2021-10-30 00:00:53
139,Victoria,22.2855,114.1577,77.05,89,87,3.0,HK,2021-10-29 23:59:47
140,Kaniama,-7.5667,24.1833,65.53,96,61,2.26,CD,2021-10-30 00:00:54
141,Frankfort,-27.2667,28.4833,55.22,92,41,3.78,ZA,2021-10-30 00:00:55
142,Tual,-5.6667,132.75,84.11,70,99,5.46,ID,2021-10-30 00:00:55
143,Shimoda,34.6667,138.95,62.1,59,56,1.57,JP,2021-10-29 23:57:07
144,Oktyabrskoye,43.0645,44.7417,28.54,100,78,6.71,RU,2021-10-29 23:59:59
145,Madison Heights,42.4859,-83.1052,53.96,94,90,11.5,US,2021-10-29 23:57:32
146,Vuktyl,63.8567,57.3094,20.35,94,97,8.79,RU,2021-10-30 00:00:56
147,Berdigestyakh,62.0989,126.6992,7.86,95,91,4.72,RU,2021-10-30 00:00:56
148,Providencia,28.7167,-111.5833,91.62,40,0,5.99,MX,2021-10-30 00:00:57
149,College,64.8569,-147.8028,20.21,90,97,1.7,US,2021-10-30 00:00:57
150,Mareeba,-17.0,145.4333,86.32,64,38,6.53,AU,2021-10-30 00:00:58
151,Ust-Ilimsk,58.0006,102.6619,31.8,61,100,8.79,RU,2021-10-30 00:00:58
152,Warmbad,-28.45,18.7333,63.46,52,0,6.17,NA,2021-10-30 00:00:58
153,Malaryta,51.7905,24.074,47.62,82,11,10.13,BY,2021-10-30 00:00:59
154,Nouadhibou,20.931,-17.0347,69.1,76,52,16.42,MR,2021-10-30 00:00:59
155,Salta,-24.7859,-65.4117,71.31,57,26,2.93,AR,2021-10-30 00:00:35
156,Barcelos,41.5388,-8.6151,66.34,91,100,15.93,PT,2021-10-30 00:01:00
157,Uberaba,-19.7483,-47.9319,72.39,71,91,6.55,BR,2021-10-30 00:01:01
158,Bilibino,68.0546,166.4372,-9.67,87,97,2.64,RU,2021-10-30 00:01:01
159,Hay River,60.8156,-115.7999,33.76,93,90,12.66,CA,2021-10-30 00:01:02
160,Tuktoyaktuk,69.4541,-133.0374,23.45,95,100,1.05,CA,2021-10-30 00:01:03
161,Chuy,-33.6971,-53.4616,64.36,91,0,12.15,UY,2021-10-29 23:59:02
162,Bonga,7.2833,36.2333,55.9,85,36,1.99,ET,2021-10-30 00:01:04
163,Cherskiy,68.75,161.3,-12.68,96,99,2.3,RU,2021-10-29 23:58:53
164,Klaksvik,62.2266,-6.589,43.72,85,100,3.76,FO,2021-10-29 23:58:43
165,Serebryansk,49.6925,83.2892,33.35,90,40,3.8,KZ,2021-10-30 00:01:05
166,Port Hawkesbury,45.6169,-61.3485,46.58,87,29,1.01,CA,2021-10-30 00:01:05
167,Katsuura,35.1333,140.3,65.1,59,11,3.87,JP,2021-10-30 00:00:45
168,Naze,28.3667,129.4833,71.55,58,83,9.64,JP,2021-10-30 00:01:05
169,Rio Grande,-32.035,-52.0986,68.95,85,3,20.31,BR,2021-10-30 00:01:06
170,Baisha,26.5222,110.9311,59.72,93,100,1.81,CN,2021-10-30 00:01:06
171,Buala,-8.145,159.5921,85.73,70,94,11.36,SB,2021-10-30 00:01:07
172,Mbaiki,3.8678,17.9892,68.97,99,100,2.1,CF,2021-10-29 23:59:21
173,Vanavara,60.34,102.2797,28.56,77,100,8.46,RU,2021-10-29 23:58:42
174,Salalah,17.0151,54.0924,78.01,71,4,2.39,OM,2021-10-29 23:57:33
175,Joaima,-16.6542,-41.0306,71.71,90,89,3.4,BR,2021-10-30 00:01:08
176,Iqaluit,63.7506,-68.5145,38.7,64,100,10.0,CA,2021-10-30 00:00:15
177,Celestun,20.8667,-90.4,78.3,56,81,13.09,MX,2021-10-30 00:01:08
178,Koster,-25.863,26.8976,59.22,79,46,8.28,ZA,2021-10-30 00:01:08
179,Zhanakorgan,43.9098,67.2495,40.17,73,4,4.07,KZ,2021-10-30 00:01:09
180,Nelson Bay,-32.7167,152.15,69.12,65,40,4.0,AU,2021-10-30 00:01:09
181,Tokur,53.1333,132.9,28.22,94,100,4.03,RU,2021-10-30 00:01:10
182,Quelimane,-17.8786,36.8883,66.67,74,22,1.21,MZ,2021-10-30 00:01:10
183,Neuquen,-38.9516,-68.0591,79.43,16,96,26.82,AR,2021-10-30 00:01:10
184,Tazmalt,36.3868,4.3989,64.56,58,100,3.09,DZ,2021-10-30 00:02:11
185,Taoudenni,22.6783,-3.9836,81.48,19,26,8.57,ML,2021-10-30 00:02:12
186,Katherine,-14.4667,132.2667,86.32,58,92,8.05,AU,2021-10-30 00:02:12
187,Kapaa,22.0752,-159.319,83.19,76,8,5.99,US,2021-10-30 00:00:39
188,Seoul,37.5683,126.9778,58.44,53,100,3.04,KR,2021-10-30 00:00:49
189,Igarka,67.4667,86.5833,25.3,94,100,16.75,RU,2021-10-30 00:02:13
190,Dikson,73.5069,80.5464,5.45,88,100,16.93,RU,2021-10-30 00:02:14
191,Hasaki,35.7333,140.8333,55.8,49,0,1.61,JP,2021-10-30 00:02:15
192,Puerto Ayacucho,5.6639,-67.6236,78.1,87,80,2.39,VE,2021-10-30 00:02:16
193,Namatanai,-3.6667,152.4333,86.68,60,88,6.08,PG,2021-10-30 00:01:08
194,Port Elizabeth,-33.918,25.5701,61.11,72,0,11.5,ZA,2021-10-29 23:58:39
195,Guerrero Negro,27.9769,-114.0611,74.19,50,0,12.06,MX,2021-10-30 00:02:17
196,La Libertad,-2.2333,-80.9,71.4,81,68,13.2,EC,2021-10-30 00:02:18
197,Tomaszow Mazowiecki,51.5313,20.0086,47.48,63,89,6.87,PL,2021-10-29 23:59:17
198,Narsaq,60.9167,-46.05,28.62,78,92,4.16,GL,2021-10-30 00:02:18
199,Saint-Francois,46.4154,3.9054,60.24,62,0,18.41,FR,2021-10-30 00:02:20
200,Portland,45.5234,-122.6762,58.8,71,80,1.99,US,2021-10-29 23:59:26
201,Ponta Delgada,37.7333,-25.6667,73.51,94,75,13.8,PT,2021-10-30 00:02:21
202,Traverse City,44.7631,-85.6206,52.54,86,90,10.36,US,2021-10-30 00:01:28
203,Hailun,47.45,126.9333,43.36,51,100,6.91,CN,2021-10-30 00:02:21
204,Vaini,-21.2,-175.2,75.27,76,13,19.77,TO,2021-10-30 00:02:22
205,Chokurdakh,70.6333,147.9167,-14.75,99,100,2.24,RU,2021-10-29 23:58:45
206,Umm Lajj,25.0213,37.2685,82.58,48,0,9.69,SA,2021-10-30 00:02:22
207,Wuwei,37.9281,102.6414,42.06,39,14,4.85,CN,2021-10-30 00:02:23
208,Westerland,54.9079,8.3033,54.01,94,90,14.97,DE,2021-10-30 00:02:23
209,Thompson,55.7435,-97.8558,37.09,89,79,5.41,CA,2021-10-30 00:02:23
210,Aksarka,66.5606,67.7975,9.05,92,100,4.59,RU,2021-10-30 00:02:24
211,Ludvika,60.1496,15.1878,46.6,94,86,4.81,SE,2021-10-30 00:02:24
212,San Andres,12.5847,-81.7006,84.09,68,86,4.5,CO,2021-10-30 00:00:09
213,Pimenta Bueno,-11.6725,-61.1936,78.24,72,43,1.88,BR,2021-10-29 23:59:03
214,Luwuk,-0.9516,122.7875,83.16,76,95,1.25,ID,2021-10-30 00:02:25
215,Fort Nelson,58.8053,-122.7002,40.59,36,1,9.22,CA,2021-10-29 23:58:44
216,Ponta Do Sol,32.6667,-17.1,70.72,70,79,8.93,PT,2021-10-30 00:02:26
217,Fez,34.0372,-4.9998,59.25,62,0,5.75,MA,2021-10-30 00:02:26
218,Saint George,37.1041,-113.5841,81.07,31,1,4.0,US,2021-10-30 00:01:55
219,Kaspiysk,42.8816,47.6392,44.78,87,100,8.95,RU,2021-10-30 00:02:27
220,Swabi,34.1199,72.4699,61.5,42,0,4.5,PK,2021-10-30 00:01:07
221,Lebu,-37.6167,-73.65,54.66,81,100,18.99,CL,2021-10-30 00:02:28
222,Derzhavinsk,51.1,66.3167,36.75,96,100,10.45,KZ,2021-10-30 00:02:28
223,Havelock,34.8791,-76.9013,67.95,68,8,4.0,US,2021-10-30 00:01:43
224,Olafsvik,64.8945,-23.7142,39.88,92,100,28.79,IS,2021-10-30 00:02:29
225,Dawson Creek,55.7666,-120.2362,35.35,40,1,8.12,CA,2021-10-30 00:00:30
226,Tekeli,44.83,78.8239,36.25,88,93,2.48,KZ,2021-10-30 00:02:30
227,Sur,22.5667,59.5289,76.87,47,4,3.65,OM,2021-10-29 23:58:13
228,Llata,-9.4167,-76.7833,52.34,88,79,2.73,PE,2021-10-30 00:03:30
229,Mao,39.8885,4.2658,66.76,77,20,13.8,ES,2021-10-30 00:03:31
230,Vrangel,42.7297,133.0839,50.23,62,100,0.78,RU,2021-10-30 00:03:31
231,Arraial Do Cabo,-22.9661,-42.0278,69.46,89,100,21.21,BR,2021-10-30 00:03:32
232,Liverpool,53.4106,-2.9779,51.19,87,94,5.99,GB,2021-10-30 00:00:21
233,Omsukchan,62.5333,155.8,12.6,94,100,4.05,RU,2021-10-29 23:59:15
234,Dalvik,65.9702,-18.5286,38.61,92,100,5.95,IS,2021-10-30 00:03:33
235,New Plymouth,-39.0667,174.0833,65.05,70,21,9.95,NZ,2021-10-29 23:59:42
236,Bria,6.5423,21.9863,69.57,98,97,2.3,CF,2021-10-30 00:03:33
237,Santa Cruz,-17.8,-63.1667,86.05,62,20,10.36,BO,2021-10-29 23:59:10
238,Vallenar,-28.5708,-70.7581,69.06,51,0,3.02,CL,2021-10-30 00:03:34
239,Jumla,29.2747,82.1838,41.59,60,1,4.25,NP,2021-10-29 23:59:49
240,Constantine,36.365,6.6147,57.92,67,54,3.56,DZ,2021-10-30 00:00:26
241,Cayenne,4.9333,-52.3333,82.09,80,70,3.0,GF,2021-10-29 23:58:56
242,Yulara,-25.2406,130.9889,66.31,33,100,21.45,AU,2021-10-30 00:03:35
243,Kangaatsiaq,68.3065,-53.4641,31.95,96,100,13.96,GL,2021-10-30 00:03:36
244,Uppsala,60.0,17.75,44.62,98,90,6.91,SE,2021-10-30 00:03:36
245,Dundee,56.5,-2.9667,43.61,96,0,1.14,GB,2021-10-30 00:03:36
246,Rudnichnyy,59.617,52.4703,26.62,95,100,11.27,RU,2021-10-30 00:03:37
247,Berezovyy,51.6667,135.7,38.46,74,100,1.34,RU,2021-10-30 00:03:37
248,Hinton,53.4001,-117.5857,38.1,40,67,9.48,CA,2021-10-30 00:03:38
249,Alberton,46.8168,-64.0654,48.06,77,44,11.77,CA,2021-10-30 00:03:39
250,Te Anau,-45.4167,167.7167,65.62,48,71,7.65,NZ,2021-10-30 00:03:39
251,Dolores,-36.3132,-57.6792,59.77,95,52,8.46,AR,2021-10-30 00:03:39
252,Ivanovka,42.8878,75.085,36.03,77,58,4.5,KG,2021-10-30 00:03:40
